# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 5 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-6863
# Timestamp: Tue, 07-Jun-2022 23:32:23
Gene ID	Gene Name	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 1' .foldChange	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 1'.pValue	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 3' .foldChange	'advanced' vs 'early' in 'no steatosis; liver disease; Hepatitis C virus genotype 3'.pValue	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 1' .foldChange	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 1'.pValue	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 3' .foldChange	'advanced' vs 'early' in 'steatosis; liver disease; Hepatitis C virus genotype 3'.pValue	'advanced' vs 'early' in 'steatosis; non-alcoholic fatty liver disease; not applicable' .foldChange	'advanced' vs 'early' in 'steatosis; non-alcoholic fatty liver disease; not applicable'.pValue
ENSG00000000003	TSPAN6			-0.4	0.281913318069843	-0.3	0.877886170289888	-0.3	0.829150901891045	0.2	0.769741259959015
ENSG00000000005	TNMD					0.1	0.98552016352893				
ENSG00000000419	DPM1			-0.3	0.499480118057882	-0.1	0.946040319684436	-0.1	0.938290621185281	0.5	0.304146342778071
ENSG00000000457	SCYL3									0.1	0.825765324993859
ENSG00000000460	C1orf112			0.6	0.309035659414381			-0.3	0.833355352405769	0.1	0.927387219862926
ENSG00000000938	FGR	0.1	0.999985931919634	0.3	0.557937897579666	-0.1	0.964426884473226			-0.1	0.94841928175037
ENSG00000000971	CFH	0.1	0.999985931919634	-0.1	0.861781115187965	-0.5	0.801172629289385	-0.1	0.972957369088032	0.3	0.705706992638352
ENSG00000001036	FUCA2	0.1	0.999985931919634	-0.4	0.369540222068136	-0.2	0.902618219518092	-0.1	0.967369684151098		
ENSG00000001084	GCLC	-0.3	0.999985931919634	-0.3	0.197057678861861	-0.6	0.448944118255482	-0.2	0.823828681230122	0.1	0.919873060197438
ENSG00000001167	NFYA	-0.1	0.999985931919634	0.2	0.586815300019185					0.1	0.873592942449861
ENSG00000001460	STPG1	0.2	0.999985931919634			0.4	0.702390846806136	0.4	0.671623016576142		
ENSG00000001461	NIPAL3	0.2	0.936561453363623	0.2	0.688439658204788	0.3	0.642874728650601	0.2	0.855843670489529		
ENSG00000001497	LAS1L			-0.8	0.096525753484641	-0.1	0.934911119311627	-0.3	0.381623669263428	-0.3	0.568658079748319
ENSG00000001561	ENPP4			0.8	0.157990306575649	0.5	0.807054217184541			0.6	0.267221821307473
ENSG00000001617	SEMA3F	-0.1	0.999985931919634	-0.5	0.252338372080534			-0.3	0.840466598107023	-0.2	0.744667064844275
ENSG00000001626	CFTR	1.3	0.0501450817913206	1.4	0.0777492096932154	1.1	0.376609759766657	1.3	0.0189919726590278	1.1	0.0673382122630075
ENSG00000001629	ANKIB1			0.3	0.456890225698246	0.1	0.929044254329603	0.1	0.942535045264164	0.2	0.638770337021604
ENSG00000001630	CYP51A1			-0.3	0.612017017032216	-0.5	0.841508128372514	-0.1	0.978578298964639	-0.2	0.822803989138538
ENSG00000001631	KRIT1			0.6	0.273789864772955	0.2	0.927394687541053			0.1	0.926534247570241
ENSG00000002016	RAD52			0.2	0.633423366670779	0.1	0.955098234054372	0.1	0.967248257857854	-0.2	0.766953939733977
ENSG00000002079	MYH16	-0.5	0.866480381660714					-0.5	0.772510620667619		
ENSG00000002330	BAD			-1.0	0.130230072127856	-0.3	0.828542127537742	-0.4	0.695421582770827	-0.4	0.700640608458273
ENSG00000002549	LAP3	-0.1	0.999985931919634	-0.9	0.160530906457647	-0.5	0.741786347446136	-0.4	0.771559017136588	0.2	0.821593608576672
ENSG00000002586	CD99	0.1	0.999985931919634	-0.6	0.220803891233693	-0.2	0.866630635662509	-0.2	0.884990477850313	-0.2	0.826143729574527
ENSG00000002587	HS3ST1	0.4	0.999985931919634	0.8	0.130961375373977	0.2	0.947377878739165	0.8	0.20181784125173	0.6	0.433658061900699
ENSG00000002726	AOC1	-0.4	0.999985931919634	-0.7	0.352412409852766	0.3	0.945016060777381	-0.6	0.571325421318662	-0.2	0.841698952130772
ENSG00000002745	WNT16					1.3	0.444299021740512				
ENSG00000002746	HECW1	0.4	0.999985931919634			0.8	0.65843106726337	0.8	0.360056367226353	1.0	0.156115827411944
ENSG00000002822	MAD1L1			-0.7	0.225957663118574	0.1	0.955098234054372	-0.3	0.788459098999134	-0.4	0.606075642077401
ENSG00000002834	LASP1	0.2	0.999985931919634	-0.6	0.217146107237704	-0.1	0.970365363074499	0.1	0.959013724467702	-0.4	0.490035823466728
ENSG00000002919	SNX11			-0.6	0.194942904807686	-0.1	0.970589092959933	-0.1	0.950794382677817	-0.2	0.813462691260641
ENSG00000002933	TMEM176A	-0.2	0.999985931919634	-1.1	0.110777674674988	-0.2	0.942997785233607	-0.3	0.753167965691897	-0.3	0.737456990106436
ENSG00000003056	M6PR			-0.6	0.107086196640904	-0.2	0.892620531092889	-0.2	0.880919010207171	-0.1	0.926796123719558
ENSG00000003096	KLHL13	-0.1	0.999985931919634	0.2	0.78152905588668	0.1	0.97009461851206	-0.1	0.943002461567268	0.5	0.592378292243559
ENSG00000003137	CYP26B1	0.2	0.999985931919634			0.4	0.876453596068873	-0.2	0.92064434179917	0.2	0.836988759722874
ENSG00000003147	ICA1	-0.4	0.999985931919634	0.2	0.784554233069467	0.7	0.702390846806136	0.4	0.776282242917571	0.1	0.924618310905238
ENSG00000003249	DBNDD1	0.5	0.851350092841798	-0.3	0.702078028781444	0.5	0.811795783751448	0.7	0.172922715360262		
ENSG00000003393	ALS2	-0.2	0.999985931919634			-0.1	0.904556174294011	-0.1	0.910972289690773	0.1	0.914157256724861
ENSG00000003400	CASP10	0.1	0.999985931919634							-0.2	0.687539361624822
ENSG00000003402	CFLAR			0.2	0.632731115082891	0.1	0.959642910810499	0.1	0.909987417463031		
ENSG00000003436	TFPI	-0.3	0.999985931919634	0.1	0.831614361908698	-0.3	0.856849533081653	-0.2	0.913217678419577	0.2	0.747158909775481
ENSG00000003509	NDUFAF7	0.1	0.999985931919634	0.1	0.82588402958632			-0.2	0.888561502824003	0.3	0.503032745610372
ENSG00000003756	RBM5			0.4	0.261559600930824	0.1	0.937533786897238				
ENSG00000003987	MTMR7	-0.2	0.999985931919634	0.5	0.442349606889185	0.1	0.98552016352893	0.2	0.909987417463031	0.2	0.825747968425489
ENSG00000003989	SLC7A2			-0.2	0.681909533805373	-0.2	0.933203107873367	-0.4	0.582018326600821	0.1	0.838953916090049
ENSG00000004059	ARF5			-1.1	0.0923795996048754	-0.2	0.90582421446	-0.2	0.909987417463031	-0.3	0.747742527232323
ENSG00000004139	SARM1	0.1	0.999985931919634	0.1	0.888718818839944					-0.3	0.577670059129739
ENSG00000004142	POLDIP2	-0.1	0.999985931919634	-0.9	0.112583009969828	-0.3	0.859087353717057	-0.2	0.858420800940398	-0.4	0.638770337021604
ENSG00000004399	PLXND1	0.1	0.999985931919634	-0.3	0.597202297116086	0.1	0.95118419154754			-0.1	0.913811191352416
ENSG00000004455	AK2			-0.8	0.0927589873678346	-0.1	0.955098234054372	-0.2	0.770165460283973	-0.2	0.765520281814065
ENSG00000004468	CD38	0.3	0.999985931919634	0.4	0.423391544152633	-0.3	0.886743806281713	-0.1	0.944406459555822	-0.1	0.894100138861311
ENSG00000004478	FKBP4	-0.2	0.999985931919634	-1.0	0.056915515942799	-0.2	0.896951566256874	-0.3	0.861577168481263	-0.3	0.726132736443303
ENSG00000004487	KDM1A			-0.4	0.248071186345871	-0.1	0.942633421590924	-0.1	0.846684828499222	-0.1	0.857450996668485
ENSG00000004534	RBM6	0.1	0.999985931919634	0.5	0.241477772799596	0.2	0.945801712029007	0.1	0.947872829776822	0.1	0.866398984009729
