	0
MP:0000001	mammalian phenotype
MP:0000002	obsolete Morphology
MP:0000003	abnormal adipose tissue morphology
MP:0000011	abnormal adipose tissue morphology
MP:0000005	increased brown adipose tissue amount
MP:0001779	increased brown adipose tissue amount
MP:0000008	increased white adipose tissue amount
MP:0001782	increased white adipose tissue amount
MP:0000010	abnormal abdominal fat pad morphology
MP:0000012	obsolete loss of subcutaneous adipose tissue
MP:0000013	abnormal adipose tissue distribution
MP:0000015	abnormal ear pigmentation
MP:0000017	big ears
MP:0000018	small ears
MP:0000019	thick ears
MP:0000020	scaly ears
MP:0000021	prominent ears
MP:0000022	abnormal ear shape
MP:0000023	abnormal ear position
MP:0000024	lowered ear position
MP:0000025	otic hypertelorism
MP:0000026	abnormal inner ear morphology
MP:0000027	obsolete horizontal canal defects
MP:0000028	abnormal pars superior vestibularis morphology
MP:0000029	abnormal malleus morphology
MP:0000030	abnormal tympanic ring morphology
MP:0000031	abnormal cochlea morphology
MP:0000032	cochlear degeneration
MP:0000033	absent scala media
MP:0000034	abnormal inner ear vestibule morphology
MP:0000035	abnormal membranous labyrinth morphology
MP:0000036	absent semicircular canals
MP:0000037	abnormal lateral semicircular canal morphology
MP:0000038	obsolete thin semicircular canals
MP:0000039	abnormal otic capsule morphology
MP:0000040	absent middle ear ossicles
MP:0000041	absent endolymphatic duct
MP:0000042	abnormal organ of Corti morphology
MP:0000043	organ of Corti degeneration
MP:0000044	absent organ of Corti
MP:0000045	abnormal hair cell morphology
MP:0000046	abnormal sulcus ampullaris morphology
MP:0000047	obsolete abnormal interdental cells
MP:0000048	abnormal stria vascularis morphology
MP:0000049	abnormal middle ear morphology
MP:0000051	obsolete absent process brevus
MP:0000052	early ear unfolding
MP:0000053	excessive ear growth
MP:0000054	delayed ear emergence
MP:0000060	delayed bone ossification
MP:0000061	fragile skeleton
MP:0001543	fragile skeleton
MP:0000062	increased bone mineral density
MP:0010120	increased bone mineral density
MP:0000063	decreased bone mineral density
MP:0010121	decreased bone mineral density
MP:0000064	failure of bone resorption
MP:0000065	abnormal bone marrow cavity morphology
MP:0000066	osteoporosis
MP:0000067	osteopetrosis
MP:0000069	kyphoscoliosis
MP:0000071	axial skeleton hypoplasia
MP:0000073	absent craniofacial bones
MP:0000074	abnormal neurocranium morphology
MP:0000076	abnormal neurocranium morphology
MP:0000075	absent neurocranium
MP:0000077	abnormal interparietal bone morphology
MP:0000110	abnormal interparietal bone morphology
MP:0000078	abnormal supraoccipital bone morphology
MP:0000079	abnormal basioccipital bone morphology
MP:0000080	abnormal exoccipital bone morphology
MP:0000081	premature cranial suture closure
MP:0005268	premature cranial suture closure
MP:0000082	overlapping parietal bones
MP:0000083	obsolete ectopic cranial bone growth
MP:0000084	abnormal fontanelle morphology
MP:0000085	large anterior fontanelle
MP:0000087	absent mandible
MP:0000088	short mandible
MP:0000090	absent premaxilla
MP:0000091	short premaxilla
MP:0000094	absent alveolar process
MP:0000097	short maxilla
MP:0000093	short maxilla
MP:0000098	abnormal vomer bone morphology
MP:0000099	absent vomer bone
MP:0000100	abnormal ethmoid bone morphology
MP:0000101	absent ethmoid bone
MP:0000102	abnormal nasal bone morphology
MP:0000103	nasal bone hypoplasia
MP:0000104	abnormal sphenoid bone morphology
MP:0000105	impaired ossification of basisphenoid bone
MP:0000106	abnormal basisphenoid bone morphology
MP:0000107	abnormal frontal bone morphology
MP:0000108	midline facial cleft
MP:0000109	abnormal parietal bone morphology
MP:0000111	cleft palate
MP:0000429	cleft palate
MP:0000114	cleft chin
MP:0000116	abnormal tooth development
MP:0000117	absent tooth placode
MP:0000118	arrest of tooth development
MP:0000119	abnormal tooth eruption
MP:0000120	malocclusion
MP:0000121	failure of tooth eruption
MP:0000122	premature tooth eruption
MP:0000124	obsolete absent teeth
MP:0000125	absent incisors
MP:0000126	brittle teeth
MP:0000127	degenerate molars
MP:0000128	growth retardation of molars
MP:0000129	ameloblast degeneration
MP:0000130	abnormal trabecular bone morphology
MP:0000131	abnormal long bone epiphysis morphology
MP:0000132	thickened long bone epiphysis
MP:0000133	abnormal long bone metaphysis morphology
MP:0000134	abnormal compact bone thickness
MP:0000135	decreased compact bone thickness
MP:0000136	abnormal microglial cell morphology
MP:0000137	abnormal vertebrae morphology
MP:0001538	abnormal vertebrae morphology
MP:0000138	absent vertebrae
MP:0000139	absent vertebral transverse processes
MP:0000140	absent vertebral pedicles
MP:0000141	abnormal vertebral body morphology
MP:0000142	obsolete An Extra Piece of Bone Rostral to C1
MP:0000143	obsolete Broadening/Splitting of the Neural Arch of C2
MP:0000148	obsolete abnormal shoulder/ pelvic girdle morphology
MP:0001540	obsolete abnormal shoulder/ pelvic girdle morphology
MP:0000149	abnormal scapula morphology
MP:0000150	abnormal rib morphology
MP:0000151	absent ribs
MP:0000152	absent proximal rib
MP:0000153	rib bifurcation
MP:0000154	rib fusion
MP:0000155	asymmetric rib joints
MP:0000156	obsolete Presence of 6 Vertebrosternal Ribs instead of 7
MP:0000157	abnormal sternum morphology
MP:0000158	absent sternum
MP:0000159	abnormal xiphoid process morphology
MP:0000160	kyphosis
MP:0000068	kyphosis
MP:0000161	scoliosis
MP:0000070	scoliosis
MP:0000162	lordosis
MP:0000163	abnormal cartilage morphology
MP:0000164	abnormal cartilage development
MP:0000165	abnormal long bone hypertrophic chondrocyte zone
MP:0000166	abnormal chondrocyte morphology
MP:0000167	decreased chondrocyte number
MP:0000168	abnormal bone marrow development
MP:0000172	abnormal bone marrow cell number
MP:0000175	absent bone marrow cell
MP:0000342	absent bone marrow cell
MP:0000176	obsolete bone marrow occupied by adipocytes
MP:0000180	abnormal circulating cholesterol level
MP:0001549	abnormal circulating cholesterol level
MP:0005177	abnormal circulating cholesterol level
MP:0000181	abnormal circulating LDL cholesterol level
MP:0000182	increased circulating LDL cholesterol level
MP:0000183	decreased circulating LDL cholesterol level
MP:0000184	abnormal circulating HDL cholesterol level
MP:0001555	abnormal circulating HDL cholesterol level
MP:0000186	decreased circulating HDL cholesterol level
MP:0002618	decreased circulating HDL cholesterol level
MP:0000187	abnormal triglyceride level
MP:0001551	abnormal triglyceride level
MP:0000188	abnormal circulating glucose level
MP:0001557	abnormal circulating glucose level
MP:0000189	hypoglycemia
MP:0001558	hypoglycemia
MP:0002613	hypoglycemia
MP:0000192	abnormal mineral level
MP:0001561	abnormal mineral level
MP:0000194	increased circulating calcium level
MP:0001563	increased circulating calcium level
MP:0001768	increased circulating calcium level
MP:0000195	decreased circulating calcium level
MP:0001564	decreased circulating calcium level
MP:0001769	decreased circulating calcium level
MP:0000198	decreased circulating phosphate level
MP:0001567	decreased circulating phosphate level
MP:0001774	decreased circulating phosphate level
MP:0000199	abnormal circulating serum albumin level
MP:0001568	abnormal circulating serum albumin level
MP:0000202	abnormal circulating alkaline phosphatase level
MP:0001571	abnormal circulating alkaline phosphatase level
MP:0000203	abnormal circulating aspartate transaminase level
MP:0001572	abnormal circulating aspartate transaminase level
MP:0000208	decreased hematocrit
MP:0001580	decreased hematocrit
MP:0000215	absent erythrocytes
MP:0000216	absent erythroid progenitor cell
MP:0000217	abnormal leukocyte cell number
MP:0001587	abnormal leukocyte cell number
MP:0000218	increased leukocyte cell number
MP:0000219	increased neutrophil cell number
MP:0000220	increased monocyte cell number
MP:0000221	decreased leukocyte cell number
MP:0000222	decreased neutrophil cell number
MP:0000223	decreased monocyte cell number
MP:0000226	abnormal mean corpuscular volume
MP:0001590	abnormal mean corpuscular volume
MP:0000228	abnormal thrombopoiesis
MP:0000211	abnormal thrombopoiesis
MP:0000227	abnormal thrombopoiesis
MP:0001583	abnormal thrombopoiesis
MP:0001591	abnormal thrombopoiesis
MP:0001592	abnormal thrombopoiesis
MP:0002448	abnormal thrombopoiesis
MP:0000229	abnormal megakaryocyte differentiation
MP:0001593	abnormal megakaryocyte differentiation
MP:0000230	abnormal systemic arterial blood pressure
MP:0001594	abnormal systemic arterial blood pressure
MP:0002129	abnormal systemic arterial blood pressure
MP:0000231	hypertension
MP:0001595	hypertension
MP:0000233	abnormal blood flow velocity
MP:0001597	abnormal blood flow velocity
MP:0000237	obsolete decreased blood cell number
MP:0000238	absent pre-B cells
MP:0000349	absent pre-B cells
MP:0000239	absent common myeloid progenitor cells
MP:0000240	extramedullary hematopoiesis
MP:0000242	impaired fertilization
MP:0000243	myoclonus
MP:0000245	abnormal erythropoiesis
MP:0001608	abnormal erythropoiesis
MP:0000247	obsolete abnormal interleukin-10 physiology
MP:0000248	macrocytosis
MP:0001610	macrocytosis
MP:0000249	abnormal blood vessel physiology
MP:0000250	abnormal vasoconstriction
MP:0001612	abnormal vasoconstriction
MP:0005593	abnormal vasoconstriction
MP:0000255	blood vessel congestion
MP:0000256	echinocytosis
MP:0000259	abnormal vascular development
MP:0001620	abnormal vascular development
MP:0000260	abnormal angiogenesis
MP:0001621	abnormal angiogenesis
MP:0000262	poor arterial differentiation
MP:0000263	absent organized vascular network
MP:0000264	failure of vascular branching
MP:0000265	blood vessel atresia
MP:0000266	abnormal heart morphology
MP:0000271	abnormal heart morphology
MP:0000267	abnormal heart development
MP:0001624	abnormal heart development
MP:0000268	obsolete abnormal anterior cardiac development
MP:0000269	abnormal heart looping
MP:0000270	abnormal heart tube morphology
MP:0000272	abnormal aorta morphology
MP:0000273	overriding aortic valve
MP:0000274	enlarged heart
MP:0000275	heart hyperplasia
MP:0000276	heart right ventricle hypertrophy
MP:0000277	abnormal heart shape
MP:0000278	abnormal myocardial fiber morphology
MP:0002994	abnormal myocardial fiber morphology
MP:0000279	ventricular hypoplasia
MP:0000280	thin ventricular wall
MP:0000281	abnormal interventricular septum morphology
MP:0005484	abnormal interventricular septum morphology
MP:0000282	abnormal interatrial septum morphology
MP:0000284	double outlet right ventricle
MP:0000283	double outlet right ventricle
MP:0000285	abnormal heart valve morphology
MP:0000286	abnormal mitral valve morphology
MP:0000287	heart valve hypoplasia
MP:0000288	abnormal pericardium morphology
MP:0000291	enlarged pericardium
MP:0000292	distended pericardium
MP:0000293	absent myocardial trabeculae
MP:0000294	absent myocardial trabeculae
MP:0000295	trabecula carnea hypoplasia
MP:0000296	absent trabeculae carneae
MP:0000297	abnormal atrioventricular cushion morphology
MP:0000298	absent atrioventricular cushions
MP:0000299	failure of atrioventricular cushion closure
MP:0000300	thin atrioventricular cushion
MP:0000301	decreased atrioventricular cushion size
MP:0000304	abnormal cardiac stroke volume
MP:0001628	abnormal cardiac stroke volume
MP:0000306	obsolete abnormal pulse
MP:0001630	obsolete abnormal pulse
MP:0000307	obsolete abnormal heart sounds
MP:0001631	obsolete abnormal heart sounds
MP:0000313	abnormal cell death
MP:0001647	abnormal cell death
MP:0000314	schistocytosis
MP:0000315	hemoglobinuria
MP:0000316	cellular necrosis
MP:0000317	obsolete abnormal cell number
MP:0000318	obsolete increased cell number
MP:0000319	obsolete increased activated B cell number
MP:0000321	increased bone marrow cell number
MP:0000173	increased bone marrow cell number
MP:0000322	increased granulocyte number
MP:0000719	increased granulocyte number
MP:0000324	increased mast cell number
MP:0000327	hemosiderinuria
MP:0000328	increased enterocyte cell number
MP:0000329	obsolete decreased cell number
MP:0000330	obsolete decreased activated B cell number
MP:0000332	hemoglobinemia
MP:0000333	decreased bone marrow cell number
MP:0000174	decreased bone marrow cell number
MP:0000334	decreased granulocyte number
MP:0000723	decreased granulocyte number
MP:0000336	decreased mast cell number
MP:0000339	decreased enterocyte cell number
MP:0000340	obsolete absence of cell
MP:0000341	abnormal bile color
MP:0000343	abnormal response to cardiac infarction
MP:0000344	absent Cajal-Retzius cell
MP:0000793	absent Cajal-Retzius cell
MP:0000817	absent Cajal-Retzius cell
MP:0000346	broad head
MP:0000348	abnormal aerobic fitness
MP:0000350	abnormal cell proliferation
MP:0000351	increased cell proliferation
MP:0000352	decreased cell proliferation
MP:0000353	obsolete Abnormal Cell Size
MP:0000354	obsolete Increased Cell Size
MP:0000355	obsolete Increased Purkinje Cell Size
MP:0000356	obsolete Decreased Cell Size
MP:0000357	obsolete Decreased Purkinje Cell Size
MP:0000358	abnormal cell morphology
MP:0000311	abnormal cell morphology
MP:0000312	abnormal cell morphology
MP:0000359	abnormal mast cell morphology
MP:0000360	obsolete absent metachromatic granules
MP:0000361	decreased mast cell protease storage
MP:0000362	decreased mast cell histamine storage
MP:0000363	obsolete Abnormal Cell Behavior
MP:0000364	abnormal vascular regression
MP:0000365	obsolete Abnormal Hematopoietic/Hemopoietic/ Hematogenic/Hemogenic/Sanguifacient Cell Behavior
MP:0000366	obsolete Impaired Proliferative Response of Hematopoietic Cells to Mitogens
MP:0000367	abnormal coat/ hair morphology
MP:0000370	head blaze
