	abnormal neuron differentiation:-log(hyper_p)	abnormal neuron differentiation:-log(OR_p)	abnormal neuron differentiation:log_OR	abnormal neuron differentiation:num_genes	abnormal neuron differentiation:gene_ids	abnormal neuron morphology:-log(hyper_p)	abnormal neuron morphology:-log(OR_p)	abnormal neuron morphology:log_OR	abnormal neuron morphology:num_genes	abnormal neuron morphology:gene_ids	abnormal nervous system electrophysiology:-log(hyper_p)	abnormal nervous system electrophysiology:-log(OR_p)	abnormal nervous system electrophysiology:log_OR	abnormal nervous system electrophysiology:num_genes	abnormal nervous system electrophysiology:gene_ids	abnormal neuron number:-log(hyper_p)	abnormal neuron number:-log(OR_p)	abnormal neuron number:log_OR	abnormal neuron number:num_genes	abnormal neuron number:gene_ids	abnormal CNS synaptic transmission:-log(hyper_p)	abnormal CNS synaptic transmission:-log(OR_p)	abnormal CNS synaptic transmission:log_OR	abnormal CNS synaptic transmission:num_genes	abnormal CNS synaptic transmission:gene_ids	abnormal synaptic transmission:-log(hyper_p)	abnormal synaptic transmission:-log(OR_p)	abnormal synaptic transmission:log_OR	abnormal synaptic transmission:num_genes	abnormal synaptic transmission:gene_ids	decreased neuron number:-log(hyper_p)	decreased neuron number:-log(OR_p)	decreased neuron number:log_OR	decreased neuron number:num_genes	decreased neuron number:gene_ids	abnormal somatic nervous system morphology:-log(hyper_p)	abnormal somatic nervous system morphology:-log(OR_p)	abnormal somatic nervous system morphology:log_OR	abnormal somatic nervous system morphology:num_genes	abnormal somatic nervous system morphology:gene_ids	increased neuron number:-log(hyper_p)	increased neuron number:-log(OR_p)	increased neuron number:log_OR	increased neuron number:num_genes	increased neuron number:gene_ids	abnormal sensory neuron morphology:-log(hyper_p)	abnormal sensory neuron morphology:-log(OR_p)	abnormal sensory neuron morphology:log_OR	abnormal sensory neuron morphology:num_genes	abnormal sensory neuron morphology:gene_ids
C438120	-0.0	-0.0	0.0	0		0.3517059066257232	0.16833602104336326	-0.4271636854797558	1	CYTH1	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		0.6943214095721525	0.06896987992358293	0.19089727390299505	1	IQSEC2	0.5582218542739267	0.0116851905080381	-0.03431903557658078	1	IQSEC2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438119	-0.0	-0.0	0.0	0		0.7416242350541442	0.18038286791297767	0.3312522871531547	2	LRRTM1 LRRTM3	1.3835253695104965	0.5850657349471523	1.1628064306051558	1	LRRTM3	-0.0	-0.0	0.0	0		2.0845026775829263	1.5973655433002831	1.425538757206068	3	LRRTM2 LRRTM3 LRRTM4	1.768090533108623	1.2246020298641722	1.1998680554183982	3	LRRTM2 LRRTM3 LRRTM4	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438151	-0.0	-0.0	0.0	0		1.0440459561444124	0.29982059062832117	0.7366889906811069	1	KCNMA1	2.280668716174735	1.4696911257760015	2.3266102725810365	1	KCNMA1	-0.0	-0.0	0.0	0		1.4993409128299078	0.6646578449482012	1.3547216699684919	1	KCNMA1	1.3283102008632481	0.5189884930347154	1.1295137121991763	1	KCNMA1	-0.0	-0.0	0.0	0		1.3642933754306439	0.5487597163008727	1.1774661099718475	1	KCNMA1	-0.0	-0.0	0.0	0		1.972014056365317	1.1236359850531976	1.9506507742136243	1	KCNMA1
C438118	2.3000676386844474	1.8289807862431509	1.8266706121050884	2	CTNNB1 PITX2	1.6806736075588227	1.1633200315907535	1.0257336907262369	4	CTNNB1 PITX2 PTK7 WNT5A	1.2949150664633953	0.5088545167941202	1.0449046159962627	1	KCNJ11	1.7708539021802892	1.1670596894955918	1.3664517330236903	2	PTK7 WNT5A	1.1963014793870812	0.5677365400743359	0.8245455187870983	2	CTNNB1 LEF1	1.5980738985048022	1.0431036322239566	1.0662126394773326	3	ABCC9 CTNNB1 LEF1	1.1087460436551175	0.35712623568166435	0.7952882335907994	1	WNT5A	2.415928555966424	2.034914487909328	1.4675435841217679	4	CDX1 CTNNB1 PITX2 PTK7	2.4275588537700505	1.7496100199132496	2.4488066268009394	1	PTK7	1.0174248711326215	0.28784339234203493	0.6689383690476118	1	PTK7
C438149	2.3041121739793784	1.497507894341652	2.3548810095879293	1	GFAP	3.122113568097515	2.391693111916732	2.347587795801802	3	DCX GFAP MAP2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		2.675465221036223	2.0579005824270205	2.272260558224236	2	DCX GFAP	2.4098859173261475	1.7403253145073054	2.0468256480680944	2	DCX GFAP	-0.0	-0.0	0.0	0		1.3642933754306439	0.5487597163008727	1.1774661099718475	1	AIF1	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438117	1.2377242344744144	0.461290126995243	0.9676965199340568	1	GRIA2	2.119277580551759	1.679586698092357	1.1849426741681777	5	GRIA2 KIF5A KIF5C PRSS56 TSPAN7	4.397671450153104	5.110209669621983	2.4975771515945766	4	GRIA2 GRIA4 GSG1L TSPAN7	1.651976654766795	1.0364596018924475	1.2551060859121215	2	GRIA2 KIF5C	6.561303885613317	7.4606474154357825	2.4865002756232784	8	CNIH2 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L SHISA7 TSPAN7	5.783598401479003	6.277575962453508	2.2596819322699666	8	CNIH2 GRIA2 GRIA3 GRIA4 GRIP2 GSG1L SHISA7 TSPAN7	1.85421824414913	1.2691280984106805	1.436692266699672	2	GRIA2 KIF5C	0.9230776662656872	0.32648925194051254	0.5357502028923644	2	KIF5C PRSS56	2.3410527072498106	1.6384904522576527	2.343329035687849	1	KIF5C	1.71257767705922	1.1045443693998895	1.3100658963543097	2	KIF5C PRSS56
C438124	-0.0	-0.0	0.0	0		0.4998777955325367	0.048844906344318144	-0.13922633189824563	1	VPS35	1.6031667445984525	0.7852198906477303	1.4507260186450148	1	RAI1	-0.0	-0.0	0.0	0		0.8812426852118272	0.18998414498429686	0.47882433931245405	1	DNASE1L2	0.7329612250044434	0.09281350754603343	0.25361106812840983	1	DNASE1L2	-0.0	-0.0	0.0	0		0.7637320900548716	0.11231035243175579	0.3015646996192629	1	DNASE1L2	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
C438123	5.41537711618717	6.570247099172644	3.057150790580864	4	AUTS2 CDK5R1 MAPT PRNP	6.410960735515563	5.9727472417156475	2.6384196558275494	8	AUTS2 CADPS2 CDK5R1 DYRK1A KLK6 MAPT PRNP SNCA	2.6610464551883046	2.2962893005923233	2.146917341586188	2	CHD8 PRNP	5.828680522276147	6.7639906215468475	2.9252292079718103	5	CADPS2 KLK6 MAPT PRNP SNCA	4.530573463318195	4.689424535756584	2.3808842810701414	5	CDK5R1 CHD8 MAPT PRNP SNCA	5.152366291807667	5.248712893637901	2.4558890064885297	6	CADPS2 CDK5R1 CHD8 MAPT PRNP SNCA	4.842475065936098	5.537262521201462	2.7770153610407977	4	CADPS2 KLK6 PRNP SNCA	2.1499864257488466	1.6498332573497632	1.4892582199713988	3	AUTS2 MAPT PRNP	2.6947124632186443	2.105207252297358	2.774521655921119	1	MAPT	1.2524154838307409	0.4706895486826076	0.9946602872608583	1	MAPT
C438122	1.5070885543348234	0.6961975209151303	1.3247276103714771	1	GATA3	0.4178752368847484	0.1096754621904532	-0.29350464414431254	1	GATA3	-0.0	-0.0	0.0	0		1.1574907558840244	0.39421837229674916	0.8656425552429647	1	GATA3	-0.0	-0.0	0.0	0		0.6374262894296561	0.034524435542337424	0.09933638036448489	1	GATA3	1.2929417361382245	0.5052863948899945	1.04684149636054	1	GATA3	0.6667918658528312	0.052124362561813346	0.14729036454268218	1	GATA3	-0.0	-0.0	0.0	0		1.1980996078296922	0.426739826362927	0.9204924187278554	1	GATA3
C438154	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		1.6611927988232245	0.8003770153188003	1.5779264339047616	1	GNAI1	1.4867682187503832	0.6449253031125266	1.3527192348206887	1	GNAI1	-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0		-0.0	-0.0	0.0	0	
