chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	29	6.45744938E-1	DAVIES_SUCCESS
chr1	761585	762902	-	79854	LINC00115	91	7.93128432E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	93	7.99908191E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	88	7.96169057E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	42	5.86220682E-1	DAVIES_SUCCESS
chr1	860529	879961	+	148398	SAMD11	85	2.31455931E-1	DAVIES_SUCCESS
chr1	879582	894679	-	26155	NOC2L	118	2.16633602E-1	DAVIES_SUCCESS
chr1	895966	901099	+	339451	KLHL17	124	2.19003371E-1	DAVIES_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	149	1.8568456E-1	DAVIES_SUCCESS
chr1	910578	917473	-	84808	C1orf170	158	1.84105908E-1	DAVIES_SUCCESS
chr1	934341	935552	-	57801	HES4	161	1.8029466E-1	DAVIES_SUCCESS
chr1	948846	949919	+	9636	ISG15	159	1.83438488E-1	DAVIES_SUCCESS
chr1	955502	991499	+	375790	AGRN	223	2.63694727E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	164	5.57862893E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	172	6.3634099E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	165	5.93840447E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	154	7.0167093E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	155	7.05683249E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	149	6.99399758E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	237	8.17720511E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	226	7.99544772E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	228	8.04317454E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	240	8.55046142E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	219	9.82125175E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	199	9.74170229E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	193	9.30328914E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	111	8.71476277E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	102	7.92400218E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	83	6.761139E-1	DAVIES_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	141	5.13181789E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	156	5.36241479E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	156	5.16526992E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	165	5.14615474E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	178	5.22161971E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	194	5.40182393E-1	DAVIES_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	215	5.9972179E-1	DAVIES_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	209	5.91830708E-1	DAVIES_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	226	6.13429991E-1	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	188	5.95009769E-1	DAVIES_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	157	6.11066458E-1	DAVIES_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	154	4.17523191E-1	DAVIES_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	164	4.41431627E-1	DAVIES_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	177	4.5226881E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	134	2.92433959E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	125	3.55918787E-1	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	118	4.62367037E-1	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	64	4.5058948E-1	DAVIES_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	41	4.31568463E-1	DAVIES_SUCCESS
chr1	1567559	1570030	+	8510	MMP23B	28	5.2312542E-1	DAVIES_SUCCESS
chr1	1571099	1655775	-	984	CDK11B	195	9.86585371E-1	DAVIES_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	215	9.94096266E-1	DAVIES_SUCCESS
chr1	1631377	1633247	+	8511	MMP23A	143	9.79242417E-1	DAVIES_SUCCESS
chr1	1634169	1655791	-	728642	CDK11A	189	9.88439827E-1	DAVIES_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	213	9.93440276E-1	DAVIES_SUCCESS
chr1	1682670	1711508	-	65220	NADK	214	9.98324775E-1	DAVIES_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	301	9.64927259E-1	DAVIES_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	224	7.17308094E-1	DAVIES_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	247	5.17730431E-1	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	382	8.85501891E-2	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	260	5.27238799E-2	DAVIES_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	488	5.38886963E-1	DAVIES_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	227	3.04360618E-1	DAVIES_SUCCESS
chr1	2160133	2241652	+	6497	SKI	406	2.2636913E-1	DAVIES_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	401	2.81008226E-1	DAVIES_SUCCESS
